,CPI,trade_balance_perc_of_gdp,life_expectancy,inflation_annual_perc,gini_index,democracy_index,childmor_0_5_per_1000,cellphone_per_100,avrg_daily_income,gender_inequality_ind,press_freedom_index,political_stability,ethnic_div_index,linguistic_div_index,religious_div_index,rural_population_ratio,unemployment_perc_tot_labor,pop_percent_with_sanitation,undernourishment_prevalence_perc,population,fertility_rate
3252,27.0,-9.33,66.1,4.22,40.5,51.1,41.1,99.1,3.78,0.514,69.18,-1.17969214916229,0.8588,0.886,0.7765,72.97,4.245,32.54954,24.7,49953300.0,3.74
3254,57.0,4.44,82.9,0.483,31.4,80.0,3.19,128.0,45.5,0.078,76.49,0.638081014156342,0.002,0.0021,0.6604,18.541,3.82,99.94703,2.5,51676900.0,1.33
3256,41.0,11.9,81.6,11.3,35.4,38.5,7.85,164.0,49.8,0.253,68.09,0.0905337333679199,0.6604,0.3444,0.6745,0.0,2.158,100.0,2.5,4317190.0,1.95
3257,29.0,-35.7,73.3,3.45,27.7,51.1,18.9,140.0,6.69,0.381,69.0,-0.529558122158051,0.6752,0.5949,0.447,63.649,3.67,97.66373,5.4,6223503.0,2.91
3259,58.0,-0.664,75.8,3.89,35.1,73.8,3.86,107.0,31.7,0.155,80.37,0.395304828882217,0.5867,0.5795,0.5556,31.858,7.41,92.40346,2.5,1935632.0,1.57
3260,43.0,-12.9,77.5,7.92,32.8,64.1,17.0,124.0,14.2,0.253,69.09,-0.868218719959259,0.0394,0.0124,0.0104,31.055,15.46,95.31563,2.5,11933040.0,2.15
3261,41.0,-45.0,51.4,11.7,44.9,66.4,81.1,72.0,4.52,0.559,71.22,-0.188686534762383,0.255,0.2543,0.7211,71.847,16.918,46.515594,28.7,2198030.0,3.0
3263,43.0,-9.6,73.1,0.939,39.5,49.9,22.4,124.0,11.6,0.435,56.87,-0.348556756973267,0.4841,0.4683,0.0035,37.547,9.239,85.403465,3.8,35927516.0,2.42
3264,59.0,1.82,76.1,3.53,35.7,75.0,4.04,131.0,34.9,0.128,77.8,0.729063928127289,0.3223,0.3219,0.4141,32.321,6.15,93.89547,2.5,2876128.0,1.67
3265,81.0,32.6,82.9,2.11,35.4,88.1,2.42,131.0,83.9,0.074,85.28,1.34725511074066,0.5302,0.644,0.0911,9.01900000000001,5.59,97.59733,2.5,607920.0,1.59
3266,25.0,-4.77,65.1,8.3,42.8,52.2,53.6,39.7,1.65,0.552,73.8,-0.578839123249054,0.8791,0.0204,0.5191,62.809,1.833,11.528745,44.3,26846544.0,4.08
3268,47.0,6.71,75.2,0.625,41.0,68.8,7.78,131.0,32.8,0.225,52.59,0.247989401221275,0.588,0.597,0.6657,23.964,3.3,99.579,2.7,32399270.0,2.0
3270,32.0,-11.1,61.2,1.46,32.2,54.1,97.8,110.0,4.93,0.675,63.85,-2.08446145057678,0.6906,0.8388,0.182,57.644,1.62,42.042446,3.4,19934304.0,5.88
3271,54.0,18.1,82.5,2.21,28.7,82.1,7.02,125.0,50.1,0.184,72.56,1.27142131328583,0.0414,0.0907,0.1223,5.38800000000001,3.66,99.96452,2.5,491590.0,1.48
3272,27.0,-16.0,70.5,4.55,32.5,38.2,75.7,107.0,6.74,0.634,70.91,-0.632418096065521,0.615,0.326,0.0149,46.328,10.391,48.909367,8.6,4270717.0,4.55
3274,28.0,-2.04,75.5,4.95,45.4,61.9,12.7,96.9,14.7,0.323,51.09,-0.673981010913849,0.5418,0.1511,0.1796,19.844,3.27,91.04185,6.0,124013864.0,2.12
3276,37.0,-10.0,68.0,7.96,32.7,65.0,16.3,133.0,9.86,0.329,70.95,0.831077039241791,0.3682,0.3734,0.0799,31.555,5.38,65.42635,5.5,3163994.0,2.67
3278,35.0,-6.34,76.0,6.76,27.3,35.0,23.5,112.0,9.73,0.439,56.87,-0.842121779918671,0.3394,0.4427,0.0091,27.371,10.416,86.30309,2.5,41927008.0,2.64
3279,23.0,-37.5,57.9,3.0,54.8,38.5,73.2,47.8,2.24,0.543,68.88,-0.833329558372498,0.6932,0.8125,0.6759,64.012,3.455,33.986828,31.0,29423882.0,5.12
3280,29.0,-5.73,69.1,5.45,30.7,38.3,46.2,116.0,6.95,0.512,56.85,-1.26694679260254,0.5062,0.5072,0.1974,69.421,0.77,72.69105,2.6,52666016.0,2.17
3281,53.0,-9.95,64.7,4.43,58.9,62.5,39.6,115.0,11.1,0.442,79.76,0.684950053691864,0.6329,0.7005,0.6626,49.968,19.88,34.67975,20.0,2405682.0,3.3
3282,31.0,-32.8,70.8,4.36,31.9,51.8,32.2,137.0,7.2,0.457,67.95,-0.542416572570801,0.6632,0.7167,0.1417,80.26,10.623,69.20789,4.3,28506718.0,2.05
3283,82.0,10.5,81.7,2.44,28.1,88.9,3.87,122.0,60.4,0.027,89.99,0.838097333908081,0.1054,0.5143,0.7222,8.51000000000001,3.83,97.70362,2.5,17286042.0,1.75
3284,87.0,-0.0457,81.8,1.75,35.2,92.6,5.7,131.0,43.3,0.102,86.38,1.51216089725494,0.3969,0.1657,0.811,13.462,4.33,99.99999,2.5,4838528.0,1.97
3285,25.0,-9.43,75.2,2.66,46.3,36.3,18.3,113.0,12.3,0.431,69.59,-0.950931131839752,0.4844,0.0473,0.429,41.478,5.2,72.92057,17.4,6572234.0,2.14
3287,27.0,-2.01,63.8,10.2,35.1,44.4,120.0,87.1,3.66,0.67,62.59,-2.09741425514221,0.8505,0.8316,0.7421,49.656,4.963,40.91261,10.4,198387616.0,5.39
3288,37.0,-12.5,74.3,3.93,33.0,58.7,9.9,93.2,13.7,0.141,67.57,-0.21198371052742,0.5023,0.5021,0.5899,42.037,21.2,97.23607,2.5,2113497.0,1.55
3289,84.0,6.44,82.8,6.74,27.6,98.7,2.54,108.0,72.1,0.018,92.37,1.12063598632813,0.0586,0.0673,0.2048,17.752,3.8,98.05325,2.5,5312321.0,1.83
3290,35.0,-9.94,70.7,21.2,31.5,33.6,21.2,90.4,6.53,0.456,43.28,-1.18810069561005,0.1836,0.0237,0.1979,57.296,9.855,96.71394,4.9,103740768.0,3.15
3291,33.0,-10.5,65.5,3.84,31.6,41.7,69.3,70.1,4.98,0.542,56.76,-2.2538845539093,0.7098,0.719,0.3848,63.334,4.08,64.75166,12.3,219731488.0,3.35
3294,29.0,1.64,76.5,1.96,46.0,62.4,20.1,115.0,19.2,0.452,67.68,-0.0868015140295029,0.1689,0.5975,0.2123,38.415,6.22,90.73173,7.8,6443337.0,2.43
